source,destination,distance_km,days_to_departure,day_of_week,demand_index,price_inr
Bangalore,Mumbai,2109.62,2,5,0.98,14707
Mumbai,Goa,1873.67,16,6,1.55,18573
Chennai,Goa,1465.91,23,5,0.95,6952
Goa,Delhi,2345.64,117,4,0.99,8990
Mumbai,Goa,2312.51,26,6,1.27,16324
Goa,Hyderabad,651.38,6,4,1.09,2000
Bangalore,Mumbai,2018.34,20,0,0.96,13466
Goa,Kolkata,2162.6,34,6,0.74,9849
Bangalore,Pune,1161.23,3,2,1.09,8642
Kolkata,Chennai,454.06,9,1,1.09,5554
Delhi,Chennai,1464.84,2,2,1.27,11476
Mumbai,Goa,1244.81,5,4,1.18,9985
Kolkata,Mumbai,2440.11,25,2,1.32,11115
Chennai,Goa,1938.44,6,1,1.09,14194
Bangalore,Hyderabad,1247.67,5,3,0.89,4765
Bangalore,Hyderabad,616.78,51,0,0.66,2000
Delhi,Pune,2815.89,82,0,0.93,13034
Bangalore,Mumbai,1593.42,27,4,1.41,8975
Goa,Pune,1454.22,3,4,1.14,11491
Bangalore,Delhi,2889.08,20,6,0.84,16914
Pune,Goa,2562.08,32,6,1.05,14746
Delhi,Goa,2033.45,72,4,0.78,5507
Goa,Pune,1729.87,6,2,1.22,14098
Kolkata,Goa,1393.69,17,0,0.77,7313
Hyderabad,Kolkata,1555.49,14,3,1.34,10047
Mumbai,Hyderabad,2527.52,6,0,0.91,20653
Bangalore,Goa,1078.23,1,0,1.16,10801
Chennai,Bangalore,2899.72,1,6,0.91,21288
Bangalore,Hyderabad,1238.31,36,1,1.4,9223
Chennai,Goa,1096.87,37,3,1.08,6175
Mumbai,Delhi,2781.84,6,5,1.12,21584
Chennai,Goa,2478.19,53,1,1.37,15126
Hyderabad,Pune,1325.48,5,4,1.01,10522
Goa,Hyderabad,1797.51,59,5,0.83,8922
Kolkata,Chennai,2132.79,16,3,0.72,8805
Chennai,Pune,2381.83,8,0,0.86,13110
Pune,Delhi,2056.3,7,5,1.09,12491
Pune,Mumbai,713.4,11,5,0.99,5324
Goa,Bangalore,1701.53,10,4,0.98,10692
Goa,Pune,2679.68,6,0,0.78,17240
Bangalore,Hyderabad,2987.56,18,0,1.04,21152
Goa,Delhi,434.1,35,0,1.01,3847
Pune,Hyderabad,599.72,27,0,0.88,2000
Chennai,Pune,789.21,11,4,1.11,4782
Kolkata,Delhi,1180.33,6,5,1.18,9741
Kolkata,Hyderabad,378.22,6,1,0.84,3516
Mumbai,Pune,1433.49,55,4,0.75,4610
Bangalore,Hyderabad,2899.69,1,5,1.22,24360
Mumbai,Hyderabad,2217.35,38,2,0.92,8667
Delhi,Goa,854.25,14,4,1.18,5799
Delhi,Pune,828.65,29,4,0.96,3523
Pune,Kolkata,2005.41,9,4,0.67,8689
Chennai,Goa,1573.57,8,5,0.57,5470
Bangalore,Kolkata,1702.07,13,1,0.93,10125
Goa,Bangalore,2669.42,13,0,0.85,15667
Mumbai,Kolkata,1349.04,63,6,1.03,7647
Hyderabad,Delhi,2837.27,16,3,0.79,11162
Goa,Chennai,1217.97,11,3,1.16,7778
Chennai,Delhi,2195.25,25,6,0.95,9995
Hyderabad,Chennai,1734.98,43,3,0.88,6790
Goa,Delhi,1516.65,23,3,0.88,7203
Goa,Mumbai,758.35,12,1,0.75,2000
Goa,Delhi,2840.96,0,1,0.78,15932
Kolkata,Goa,2105.76,43,5,0.72,7832
Chennai,Delhi,1351.61,18,6,0.98,7249
Pune,Bangalore,1909.0,43,4,0.96,6213
Delhi,Pune,383.01,0,6,1.12,2963
Delhi,Chennai,2808.38,13,5,1.08,16940
Delhi,Chennai,1945.05,11,6,0.83,11196
Bangalore,Chennai,1049.07,48,1,1.09,4811
Goa,Mumbai,1690.45,28,1,0.74,5097
Kolkata,Goa,2574.39,8,0,0.94,15852
Pune,Mumbai,2315.89,4,3,0.78,11167
Mumbai,Hyderabad,2126.74,51,3,0.89,7344
Mumbai,Kolkata,2850.49,25,2,1.42,16234
Delhi,Bangalore,577.84,10,3,1.08,2791
Chennai,Goa,1097.96,37,6,1.24,8336
Pune,Mumbai,1941.21,26,1,0.9,8434
Kolkata,Hyderabad,2731.98,0,2,1.05,17244
Chennai,Goa,1058.58,17,3,0.92,5414
Pune,Hyderabad,424.68,24,1,1.32,2000
Mumbai,Goa,1806.23,10,1,1.16,10762
Mumbai,Goa,2081.33,35,2,0.84,7971
Goa,Chennai,2180.39,4,2,0.95,11339
Pune,Bangalore,946.68,73,5,1.26,5315
Hyderabad,Pune,1624.62,3,6,1.23,18085
Chennai,Mumbai,695.9,2,4,1.11,3567
Delhi,Mumbai,2224.7,40,2,1.19,9712
Bangalore,Hyderabad,1953.15,61,3,0.88,5260
Delhi,Hyderabad,541.54,36,1,1.4,2286
Bangalore,Mumbai,2211.11,2,3,1.04,13266
Mumbai,Goa,422.35,11,4,1.13,4303
Pune,Kolkata,2177.57,19,5,0.82,7853
Mumbai,Kolkata,717.8,0,1,1.15,5446
Chennai,Goa,547.23,43,1,1.07,3448
Chennai,Delhi,1305.07,54,2,0.81,3573
Kolkata,Delhi,1394.27,52,5,1.0,6392
Kolkata,Bangalore,2312.03,2,0,0.57,11202
Mumbai,Hyderabad,2315.82,16,5,1.03,11300
Mumbai,Goa,2088.6,11,6,1.16,15878
Delhi,Hyderabad,934.82,54,3,0.77,4335
Hyderabad,Chennai,1040.69,20,4,1.13,6347
Bangalore,Mumbai,2134.42,15,3,0.84,10306
Goa,Chennai,2632.31,18,1,1.21,18497
Goa,Mumbai,2645.41,46,3,1.28,13623
Goa,Bangalore,239.06,47,5,1.09,2000
Bangalore,Delhi,465.57,14,1,0.98,3122
Pune,Chennai,643.29,53,6,0.86,2893
Pune,Kolkata,2226.44,17,6,1.28,21461
Mumbai,Chennai,2892.03,2,2,0.93,15023
Bangalore,Delhi,1652.54,20,1,0.97,8737
Kolkata,Goa,644.09,29,5,0.8,2000
Bangalore,Hyderabad,989.31,38,6,0.96,4857
Pune,Mumbai,249.59,13,1,1.04,2262
Chennai,Pune,2727.15,30,3,1.06,10469
Hyderabad,Goa,744.26,4,2,1.05,3470
Chennai,Goa,1859.94,8,6,1.0,13842
Mumbai,Chennai,1630.69,3,6,1.11,15980
Pune,Chennai,1887.28,66,5,0.98,8162
Chennai,Pune,2355.85,37,2,1.04,9638
Chennai,Delhi,1972.6,11,6,0.81,9902
Kolkata,Bangalore,1557.15,11,4,1.11,11069
Chennai,Hyderabad,1894.23,10,0,0.99,12002
Kolkata,Delhi,2413.99,16,6,1.1,17252
Chennai,Delhi,1029.09,0,5,1.01,6612
Pune,Goa,2747.46,4,5,0.91,17271
Pune,Goa,1079.44,82,3,0.95,5075
Pune,Bangalore,656.12,4,0,1.29,8554
Pune,Bangalore,596.91,53,3,0.73,2000
Hyderabad,Chennai,698.4,28,6,1.16,4733
Mumbai,Hyderabad,356.41,37,1,0.54,2000
Bangalore,Delhi,486.31,5,5,1.03,5050
Hyderabad,Bangalore,427.24,12,0,0.75,2222
Goa,Hyderabad,2411.24,35,4,1.16,10940
Pune,Delhi,522.7,72,2,1.01,2155
Mumbai,Delhi,2000.13,35,3,1.14,9420
Chennai,Delhi,2872.38,4,2,0.85,16338
Goa,Mumbai,1628.69,10,0,0.85,7992
Delhi,Mumbai,760.35,1,1,0.98,4970
Delhi,Hyderabad,2668.61,21,6,1.07,16655
Mumbai,Goa,2283.91,9,4,0.86,11311
Chennai,Pune,1901.33,12,2,1.16,10121
Kolkata,Chennai,280.69,27,5,0.84,2000
Chennai,Delhi,515.54,14,0,0.98,2000
Chennai,Pune,1796.58,41,6,0.95,8955
Kolkata,Bangalore,1498.58,31,1,0.62,3334
Kolkata,Delhi,1631.08,11,1,1.19,8740
Chennai,Kolkata,2851.03,14,2,0.81,11484
Bangalore,Kolkata,1544.49,27,6,1.39,11912
Chennai,Mumbai,1925.84,64,6,1.06,9823
Mumbai,Chennai,2804.45,10,3,0.93,10149
Delhi,Mumbai,1230.54,31,3,0.99,3969
Kolkata,Chennai,2030.15,10,0,1.14,15117
Kolkata,Chennai,2804.35,65,6,1.09,14356
Mumbai,Kolkata,688.83,3,5,1.04,6846
Kolkata,Bangalore,263.17,24,0,0.99,2000
Delhi,Kolkata,2098.45,0,3,0.8,10659
Bangalore,Mumbai,1814.93,1,0,1.4,20923
Kolkata,Goa,1541.68,48,0,0.76,4329
Chennai,Delhi,2131.09,49,5,1.25,12340
Goa,Kolkata,2866.01,20,1,0.93,12784
Kolkata,Bangalore,447.56,13,6,0.88,2761
Hyderabad,Goa,1742.87,4,5,0.87,9450
Goa,Bangalore,1508.96,12,2,1.18,9849
Pune,Hyderabad,1718.35,13,3,1.13,9832
Bangalore,Chennai,2789.21,31,3,1.01,9420
Bangalore,Mumbai,1161.67,75,5,1.11,5655
Bangalore,Pune,2436.46,4,6,1.1,20813
Goa,Mumbai,2505.64,63,4,0.77,7049
Mumbai,Chennai,2816.61,32,1,0.98,10906
Hyderabad,Chennai,527.38,39,6,0.67,3667
Goa,Delhi,1815.65,41,5,1.0,7696
Pune,Delhi,2536.18,67,1,0.91,6760
Delhi,Kolkata,604.2,2,2,1.01,4727
Chennai,Hyderabad,1987.1,90,1,1.05,8018
Delhi,Bangalore,720.0,44,0,1.2,5309
Delhi,Kolkata,2845.65,32,0,0.95,14406
Goa,Bangalore,783.66,16,4,1.25,4602
Mumbai,Goa,1575.73,0,2,0.91,9329
Pune,Goa,2433.93,41,6,1.25,17996
Hyderabad,Goa,1572.86,0,0,1.33,17259
Delhi,Kolkata,906.04,2,1,0.95,4245
Delhi,Kolkata,1263.58,12,4,1.05,7138
Kolkata,Hyderabad,2376.06,57,1,0.93,9651
Bangalore,Hyderabad,2615.61,45,4,0.78,9585
Pune,Bangalore,2151.97,14,4,0.96,10896
Delhi,Goa,1646.86,5,3,0.97,10279
Kolkata,Hyderabad,1127.96,3,1,1.08,8144
Pune,Chennai,897.32,14,5,1.15,3537
Goa,Mumbai,1046.37,7,6,0.84,4169
Chennai,Goa,1445.07,36,0,1.09,9186
Mumbai,Kolkata,1589.21,47,3,1.24,8138
Hyderabad,Goa,1721.76,16,0,0.95,12296
Goa,Mumbai,382.49,9,5,0.87,2587
Chennai,Delhi,538.83,5,4,1.05,4429
Hyderabad,Kolkata,936.42,2,6,0.85,5617
Delhi,Hyderabad,311.32,6,2,1.21,3443
Mumbai,Chennai,367.98,46,0,0.84,2000
Mumbai,Chennai,2665.08,4,1,1.23,20746
Chennai,Goa,1529.33,19,0,1.12,12683
Delhi,Bangalore,2067.83,58,1,1.05,9483
Delhi,Hyderabad,661.25,29,3,1.1,2145
Chennai,Pune,934.91,1,3,1.17,6879
Goa,Mumbai,739.3,38,2,0.79,3231
Chennai,Goa,2741.02,19,6,0.8,14740
Bangalore,Delhi,1877.14,10,6,1.24,16327
Goa,Mumbai,1772.72,36,6,1.17,12801
Hyderabad,Bangalore,1301.15,18,6,1.18,10287
Hyderabad,Bangalore,2595.06,19,3,0.69,10031
Bangalore,Kolkata,1143.81,35,2,0.73,3099
Delhi,Chennai,1961.54,81,6,0.94,9981
Hyderabad,Bangalore,2740.21,25,2,1.13,12428
Hyderabad,Kolkata,2093.08,9,4,0.74,9039
Bangalore,Pune,2355.75,10,5,0.88,9741
Hyderabad,Delhi,2434.49,26,1,1.24,14660
Kolkata,Goa,891.68,27,5,1.06,3697
Pune,Bangalore,887.77,19,2,1.2,4721
Hyderabad,Delhi,913.23,2,0,1.36,10097
Goa,Mumbai,386.33,50,2,1.2,2000
Kolkata,Hyderabad,1788.87,6,0,1.28,19157
Pune,Kolkata,502.62,17,2,1.09,3094
Hyderabad,Pune,2443.64,1,6,1.09,22678
Kolkata,Delhi,2394.84,78,5,0.95,8835
Mumbai,Delhi,512.01,112,5,0.96,2925
Chennai,Delhi,1931.27,25,2,1.17,8742
Chennai,Delhi,264.27,26,6,1.07,3368
Goa,Delhi,1716.79,0,1,1.28,15723
Kolkata,Pune,1561.52,3,6,0.88,12007
Bangalore,Delhi,2769.35,9,0,1.01,19737
Goa,Chennai,797.49,3,0,0.82,6107
Bangalore,Goa,2686.73,57,6,0.82,13246
Kolkata,Delhi,2669.06,20,6,1.13,19712
Mumbai,Kolkata,1621.17,14,3,0.85,6097
Delhi,Hyderabad,2543.43,34,1,1.03,11127
Hyderabad,Bangalore,1334.29,8,2,1.16,6940
Pune,Mumbai,2122.18,24,5,0.93,7843
Mumbai,Kolkata,1800.64,13,0,0.68,8356
Goa,Mumbai,1424.61,12,2,0.54,6280
Pune,Delhi,671.92,57,5,0.76,2165
Chennai,Pune,301.62,14,0,1.01,2000
Bangalore,Mumbai,1923.26,24,2,1.41,12090
Pune,Delhi,1020.83,58,2,1.09,4042
Goa,Bangalore,666.56,2,6,1.05,6085
Bangalore,Chennai,1734.23,85,1,1.03,8642
Chennai,Hyderabad,2195.08,2,0,0.96,19516
Delhi,Pune,1495.1,42,5,1.11,8582
Bangalore,Delhi,2403.34,11,1,1.02,12044
Mumbai,Hyderabad,1612.63,1,1,1.11,13058
Bangalore,Delhi,2612.73,53,4,1.05,11255
Pune,Delhi,2188.59,37,1,0.79,6488
Delhi,Kolkata,580.53,10,4,1.09,2000
Goa,Kolkata,1716.11,15,4,0.72,6973
Hyderabad,Pune,1895.45,38,5,0.87,7848
Goa,Delhi,1608.83,20,6,1.08,11817
Hyderabad,Pune,1035.64,27,3,0.88,4259
Mumbai,Chennai,1564.22,41,1,0.74,5771
Bangalore,Kolkata,2622.55,46,5,1.23,15884
Goa,Delhi,598.48,69,3,1.0,3070
Pune,Bangalore,2670.67,18,3,1.15,14738
Bangalore,Goa,2783.69,10,0,0.74,15673
Goa,Mumbai,1875.06,13,4,0.95,9527
Pune,Mumbai,1186.95,6,4,1.31,13183
Bangalore,Goa,2191.09,9,0,0.72,10564
Hyderabad,Mumbai,1455.4,12,4,0.73,6082
Kolkata,Bangalore,342.57,21,0,1.25,2000
Goa,Pune,1639.12,32,4,0.97,5874
Delhi,Bangalore,2812.25,14,5,0.93,12542
Kolkata,Delhi,598.19,73,0,0.88,2000
Chennai,Mumbai,323.24,0,1,1.09,3598
Goa,Pune,2512.58,4,4,0.5,7213
Chennai,Mumbai,2974.87,5,0,0.98,25741
Delhi,Bangalore,1511.26,119,5,0.92,5335
Pune,Goa,2718.33,28,2,1.29,12188
Kolkata,Hyderabad,1763.99,65,6,0.99,6938
Hyderabad,Kolkata,635.68,34,5,0.74,2000
Chennai,Delhi,2481.81,17,2,0.89,11786
Pune,Hyderabad,2975.68,1,4,0.88,19571
Delhi,Pune,614.32,7,6,1.1,7015
Pune,Delhi,2792.94,35,4,0.79,11178
Goa,Kolkata,1127.4,2,1,0.65,3245
Delhi,Pune,1079.08,66,3,0.82,3639
Goa,Chennai,2939.4,12,2,1.11,16353
Pune,Chennai,1847.59,15,6,1.01,13339
Bangalore,Chennai,645.74,11,3,1.06,2959
Delhi,Pune,2264.8,4,3,0.91,12541
Bangalore,Mumbai,205.84,5,1,0.9,3112
Hyderabad,Goa,1801.59,1,2,0.97,10863
Delhi,Mumbai,1920.22,51,1,1.1,7438
Pune,Mumbai,948.52,10,6,0.63,3725
Kolkata,Delhi,381.84,27,2,1.19,3286
Delhi,Kolkata,1898.15,35,0,0.86,9747
Bangalore,Goa,1523.45,18,4,0.9,8769
Goa,Chennai,2459.5,8,6,0.94,16434
Chennai,Kolkata,616.42,5,0,1.38,7913
Bangalore,Mumbai,2995.03,4,5,1.31,27247
Hyderabad,Kolkata,869.91,19,3,1.21,6117
Kolkata,Goa,787.36,19,0,0.87,5374
Hyderabad,Mumbai,336.95,55,6,1.0,2538
Pune,Chennai,2043.32,15,5,1.14,11748
Hyderabad,Goa,2906.75,16,2,1.32,18213
Bangalore,Mumbai,2633.69,5,2,0.8,13383
Hyderabad,Delhi,317.67,4,4,0.6,2000
Chennai,Goa,705.44,1,0,0.79,3543
Hyderabad,Bangalore,207.66,19,6,1.13,2000
Bangalore,Chennai,2105.0,58,5,0.75,7066
Chennai,Kolkata,2355.19,39,0,0.69,9586
Kolkata,Hyderabad,2991.01,18,2,0.9,13971
Delhi,Kolkata,2522.75,16,3,1.24,14499
Chennai,Bangalore,2537.45,7,2,0.91,12603
Mumbai,Pune,842.52,70,2,0.99,2928
Chennai,Mumbai,821.04,51,1,0.83,3706
Delhi,Pune,2449.19,22,4,1.03,11285
Kolkata,Pune,1880.69,1,4,1.07,15016
Kolkata,Pune,524.44,8,3,0.83,2000
Chennai,Mumbai,2118.24,2,5,1.01,15584
Delhi,Bangalore,2807.03,39,1,0.84,9363
Goa,Delhi,2736.67,6,1,0.78,15710
Kolkata,Bangalore,2994.08,35,5,1.52,21670
Delhi,Pune,2823.89,92,0,1.06,12562
Kolkata,Delhi,517.44,18,0,0.62,2160
Pune,Kolkata,541.87,33,2,1.04,2000
Delhi,Chennai,693.92,49,4,1.3,3514
Delhi,Mumbai,654.42,12,4,1.1,2753
Pune,Goa,1968.4,0,6,0.74,13368
Delhi,Pune,1634.78,50,1,1.14,9597
Pune,Goa,1841.79,35,5,1.04,10067
Pune,Kolkata,2358.35,14,5,0.71,10617
Mumbai,Kolkata,726.63,25,0,1.46,5787
Hyderabad,Chennai,2299.25,0,2,1.05,14345
Delhi,Hyderabad,1657.44,43,4,1.15,9457
Hyderabad,Mumbai,1949.85,0,6,0.9,14233
Goa,Bangalore,309.03,3,2,0.63,2000
Kolkata,Pune,1262.83,4,2,1.33,7918
Hyderabad,Mumbai,1595.2,40,3,1.56,10480
Hyderabad,Delhi,2193.04,61,4,0.69,4611
Hyderabad,Mumbai,466.44,9,2,0.96,2644
Chennai,Hyderabad,2441.04,7,2,0.87,11888
Delhi,Pune,2195.88,82,6,0.94,9087
Kolkata,Mumbai,2706.91,41,0,0.84,14688
Delhi,Goa,1133.15,40,1,1.44,8364
Mumbai,Delhi,2695.93,1,6,0.84,20065
Kolkata,Delhi,1854.39,24,6,1.0,11333
Bangalore,Goa,2770.86,36,0,0.97,14983
Chennai,Goa,2182.85,5,6,1.16,20463
Goa,Mumbai,2107.95,62,4,1.1,7206
Chennai,Kolkata,1733.18,1,1,0.85,9296
Kolkata,Bangalore,581.39,109,3,1.14,2000
Chennai,Hyderabad,2597.19,3,3,0.99,16983
Mumbai,Delhi,1335.53,6,2,0.91,6160
Delhi,Goa,896.58,37,1,1.33,5347
Delhi,Goa,1305.21,100,2,1.25,5287
Chennai,Goa,510.17,35,3,1.11,2717
Bangalore,Delhi,2228.08,46,6,0.63,9916
Goa,Hyderabad,1652.82,9,5,1.09,11083
Chennai,Kolkata,1188.9,61,6,1.14,6235
Pune,Bangalore,1424.86,8,3,0.93,6521
Mumbai,Goa,1484.49,10,3,1.13,8679
Kolkata,Bangalore,695.77,43,3,1.05,2000
Pune,Bangalore,1048.95,7,1,0.94,4581
Pune,Chennai,954.99,19,3,1.03,4676
Chennai,Goa,1560.53,7,4,0.53,4324
Delhi,Chennai,2219.48,22,5,1.32,14342
Kolkata,Goa,1330.4,1,0,1.01,12152
Chennai,Pune,2881.5,80,6,0.73,8885
Bangalore,Goa,1591.7,22,1,1.17,8151
Goa,Kolkata,1155.63,19,1,1.13,7590
Goa,Bangalore,2148.88,9,1,0.79,8089
Hyderabad,Mumbai,1263.78,29,1,0.82,6425
Hyderabad,Chennai,2324.99,22,3,1.07,12564
Mumbai,Goa,413.55,24,1,1.05,3947
Chennai,Kolkata,1354.61,165,0,1.48,11405
Pune,Hyderabad,580.02,40,1,0.96,2704
Mumbai,Hyderabad,1345.59,142,5,0.81,3591
Chennai,Mumbai,1154.28,8,0,1.13,9225
Chennai,Mumbai,1532.83,9,1,0.83,5582
Mumbai,Pune,1570.74,145,6,0.85,6855
Delhi,Hyderabad,1832.06,77,2,1.31,8263
Hyderabad,Pune,1466.6,35,0,0.96,5117
Mumbai,Goa,970.72,5,1,1.01,6921
Bangalore,Delhi,2516.38,6,2,0.71,11212
Chennai,Hyderabad,576.64,3,5,1.08,5551
Kolkata,Pune,2122.93,5,0,1.06,18478
Goa,Mumbai,679.85,1,1,0.83,2000
Delhi,Mumbai,2340.37,7,1,0.82,10906
Bangalore,Chennai,2198.35,37,5,0.58,5323
Hyderabad,Chennai,640.71,176,4,0.93,2000
Pune,Chennai,681.98,54,3,0.97,3443
Chennai,Goa,2435.25,54,1,0.84,9747
Pune,Mumbai,2649.23,3,5,1.05,19014
Delhi,Hyderabad,1542.1,72,4,0.91,3577
Mumbai,Hyderabad,703.42,62,6,1.31,5964
Delhi,Bangalore,1709.21,2,4,0.85,9625
Hyderabad,Kolkata,581.3,5,3,0.62,2303
Bangalore,Pune,2412.08,35,0,0.72,9611
Delhi,Kolkata,2218.58,23,5,1.01,8974
Kolkata,Pune,1145.51,1,0,1.06,8548
Mumbai,Pune,2466.87,0,2,1.17,18951
Delhi,Mumbai,2126.28,19,6,1.29,19528
Hyderabad,Mumbai,2404.9,41,4,1.11,12105
Hyderabad,Bangalore,1261.33,3,4,0.8,5487
Kolkata,Delhi,438.11,50,4,0.88,2000
Kolkata,Chennai,1662.22,43,1,1.15,10118
Mumbai,Chennai,1262.45,1,3,0.94,7271
Mumbai,Delhi,2053.7,65,3,0.9,7118
Hyderabad,Goa,1644.49,22,3,0.93,6550
Goa,Delhi,2433.56,21,2,0.96,9693
Kolkata,Pune,676.66,25,5,1.31,4401
Pune,Mumbai,1338.85,8,4,1.16,7382
Hyderabad,Pune,2996.47,44,6,0.69,9846
Bangalore,Delhi,380.64,9,0,1.36,2621
Kolkata,Pune,1680.01,66,4,0.99,5585
Kolkata,Pune,2002.58,23,3,0.54,4402
Chennai,Kolkata,2210.91,6,5,1.15,17472
Bangalore,Goa,383.49,35,4,0.86,2000
Kolkata,Chennai,1033.24,0,3,1.0,5749
Goa,Delhi,491.46,97,2,1.35,3288
Goa,Bangalore,2847.27,29,1,0.8,11568
Kolkata,Pune,2645.71,6,6,1.04,24704
Hyderabad,Kolkata,2112.91,10,6,1.04,14718
Delhi,Kolkata,1256.36,15,2,1.16,6174
Mumbai,Pune,832.43,3,1,0.78,3976
Bangalore,Pune,2950.44,12,1,0.63,10441
Mumbai,Goa,2127.12,1,5,0.59,6051
Kolkata,Delhi,772.99,7,6,1.06,4943
Kolkata,Hyderabad,1082.21,37,3,0.95,2367
Delhi,Mumbai,464.81,27,4,0.6,2000
Delhi,Hyderabad,335.32,111,1,0.76,2000
Chennai,Kolkata,806.99,15,2,1.06,4156
Goa,Pune,297.32,2,0,1.24,2434
Pune,Goa,2892.76,142,0,0.77,10931
Goa,Pune,1747.14,59,0,1.13,11148
Mumbai,Pune,282.32,3,6,0.78,2501
Mumbai,Bangalore,2127.51,12,5,0.95,10165
Kolkata,Pune,2941.2,3,5,1.37,25980
Chennai,Kolkata,1230.13,47,1,1.06,5606
Delhi,Pune,544.89,22,6,0.91,2571
Kolkata,Delhi,847.78,22,2,1.14,2783
Goa,Delhi,677.68,38,1,0.81,2000
Delhi,Bangalore,1463.62,12,3,1.14,8465
Mumbai,Goa,2288.84,39,1,0.8,8114
Mumbai,Pune,1227.14,0,6,0.88,10104
Goa,Chennai,1419.04,46,0,0.91,7209
Bangalore,Kolkata,2384.86,0,0,1.38,27064
Mumbai,Hyderabad,2677.82,13,3,1.06,13510
Mumbai,Kolkata,631.18,18,2,1.13,3213
Bangalore,Pune,812.09,68,2,1.2,3695
Bangalore,Kolkata,1801.72,19,6,0.66,8183
Bangalore,Hyderabad,790.4,22,2,0.87,5272
Delhi,Bangalore,1051.22,24,6,0.79,4482
Chennai,Bangalore,1035.63,19,5,1.28,6307
Bangalore,Kolkata,329.14,7,2,0.92,2000
Delhi,Goa,1237.58,35,0,0.95,6421
Hyderabad,Kolkata,1826.36,2,2,0.97,11380
Mumbai,Goa,2987.02,144,4,1.07,11275
Goa,Pune,1948.55,49,6,1.03,10466
Pune,Mumbai,2689.62,10,4,1.06,14109
Chennai,Delhi,1124.99,3,0,1.06,7992
Chennai,Delhi,2693.51,3,6,1.07,22501
Kolkata,Pune,595.62,104,3,0.53,2000
Mumbai,Kolkata,1942.21,0,4,0.8,10658
Delhi,Kolkata,2338.62,107,0,0.92,9806
Chennai,Bangalore,1772.65,157,1,0.86,5743
Hyderabad,Goa,883.09,89,1,0.86,2000
Mumbai,Pune,2492.56,10,0,1.41,22196
Delhi,Bangalore,2726.3,25,3,0.86,10556
Bangalore,Kolkata,1853.43,13,5,1.18,12981
Delhi,Pune,1741.72,25,2,0.94,6845
Chennai,Mumbai,1773.02,49,0,0.86,7235
Bangalore,Pune,732.8,22,4,0.76,4446
Delhi,Chennai,2561.26,45,3,0.86,8730
Kolkata,Pune,1625.29,29,0,1.23,9749
Bangalore,Kolkata,2306.53,0,5,1.13,16738
Goa,Chennai,375.29,1,6,1.2,3674
Chennai,Mumbai,427.4,6,4,0.73,4381
Mumbai,Delhi,2846.96,14,0,0.88,16387
Kolkata,Goa,1898.29,58,2,1.19,9491
Bangalore,Pune,1962.7,6,4,1.27,16377
Bangalore,Mumbai,2243.93,7,2,0.95,12470
Pune,Chennai,1876.74,14,0,0.95,10970
Bangalore,Goa,1329.01,59,5,1.07,6795
Mumbai,Hyderabad,2436.27,41,3,0.94,7428
Goa,Mumbai,2949.55,25,4,1.32,18227
Mumbai,Kolkata,2822.41,33,2,1.12,13072
Chennai,Kolkata,849.92,83,2,0.71,3877
Chennai,Bangalore,2764.29,15,3,0.92,12247
Mumbai,Bangalore,2578.73,68,1,0.96,9105
Bangalore,Mumbai,1263.52,7,3,1.02,7460
Hyderabad,Delhi,1509.64,23,2,0.91,6021
Pune,Mumbai,2695.92,23,2,0.99,11126
Bangalore,Pune,1820.66,1,6,0.81,13172
Delhi,Kolkata,971.1,158,1,0.71,3089
Delhi,Kolkata,1517.11,3,1,1.27,12082
Pune,Hyderabad,1637.49,74,0,1.12,8821
Delhi,Kolkata,2703.95,26,6,1.12,18317
Kolkata,Hyderabad,2805.64,16,4,0.69,9988
Pune,Goa,2247.44,27,1,1.02,8311
Chennai,Pune,2503.12,8,0,1.07,17569
Hyderabad,Chennai,281.64,7,6,0.69,2000
Pune,Goa,2167.89,23,5,0.73,7776
Delhi,Kolkata,1539.3,1,6,1.14,14528
Goa,Kolkata,2383.68,4,6,1.34,27115
Goa,Kolkata,602.16,32,1,1.12,4311
Hyderabad,Goa,645.81,145,5,1.13,2110
Hyderabad,Kolkata,2968.85,82,5,0.98,12421
Delhi,Hyderabad,2023.64,82,0,1.11,10677
Goa,Chennai,2313.9,92,4,0.71,5356
Kolkata,Delhi,1403.89,28,2,1.08,4172
Bangalore,Delhi,2698.09,1,2,1.15,16503
Chennai,Goa,2556.94,17,5,0.75,9468
Kolkata,Goa,563.97,64,2,1.16,2000
Delhi,Goa,435.24,12,5,0.79,2000
Mumbai,Goa,2033.53,2,1,1.02,15249
Pune,Chennai,1537.28,23,5,1.18,10312
Pune,Bangalore,1265.26,2,4,1.26,11307
Pune,Chennai,1909.21,20,4,1.16,13090
Goa,Kolkata,1592.23,56,6,1.09,9004
Chennai,Kolkata,2983.74,1,5,0.7,13795
Mumbai,Kolkata,2001.94,34,6,1.01,11699
Kolkata,Mumbai,2058.0,60,6,1.2,13857
Hyderabad,Goa,1478.58,1,5,1.11,11650
Bangalore,Pune,2290.12,57,2,1.0,11608
Goa,Chennai,1862.07,6,2,1.13,11563
Bangalore,Goa,890.55,90,5,0.74,2253
Kolkata,Pune,1295.88,60,6,1.23,8508
Delhi,Chennai,1333.72,9,5,0.92,5818
Hyderabad,Goa,2970.27,19,2,0.6,10350
Bangalore,Kolkata,2848.98,7,5,1.04,17210
Hyderabad,Mumbai,825.95,142,4,1.25,4924
Hyderabad,Bangalore,271.85,31,4,0.98,2184
